altura,peso,idade
1.48,117.3,90
1.71,115.5,90
1.92,113.3,90
1.41,113.2,90
1.41,113.0,90
1.6,112.5,90
2.0,112.0,90
1.71,111.7,90
1.77,110.1,90
1.44,109.4,90
1.7,109.1,90
1.76,108.5,90
1.45,108.4,90
1.57,108.3,90
1.95,107.6,90
1.72,107.5,90
1.62,107.4,90
1.45,106.5,90
1.44,106.5,90
1.95,106.4,90
1.84,105.5,90
1.67,105.0,90
1.9,103.4,90
1.56,102.8,90
1.67,101.0,90
1.81,99.6,90
1.44,99.5,90
1.45,99.0,90
1.96,98.6,90
1.45,98.0,90
1.73,97.1,90
1.96,97.0,90
2.0,96.7,90
1.7,96.7,90
1.55,96.0,90
1.55,96.0,90
1.59,95.2,90
1.61,94.9,90
1.55,92.5,90
1.59,91.0,90
1.59,89.1,90
1.87,88.6,90
1.48,88.4,90
1.6,87.9,90
1.87,87.3,90
1.81,87.0,90
1.92,85.5,90
1.82,85.0,90
1.89,83.8,90
1.57,83.3,90
1.88,83.1,90
1.44,82.8,90
1.5,82.5,90
1.55,81.9,90
1.88,81.2,90
1.77,81.1,90
1.49,79.8,90
1.75,79.2,90
1.93,79.0,90
1.44,77.6,90
1.64,76.6,90
1.86,76.1,90
1.59,75.2,90
1.9,74.8,90
1.85,74.1,90
1.81,73.9,90
1.67,73.2,90
1.53,73.1,90
1.51,73.1,90
1.93,73.0,90
1.98,71.5,90
1.53,71.3,90
1.71,70.9,90
1.96,70.5,90
1.65,70.3,90
1.65,70.2,90
1.94,68.9,90
1.45,68.1,90
1.59,67.8,90
1.77,67.5,90
1.58,66.7,90
1.73,66.3,90
1.48,65.7,90
1.85,65.6,90
1.48,65.5,90
1.57,65.4,90
1.42,65.2,90
1.96,64.8,90
1.69,64.5,90
1.49,64.5,90
1.77,63.8,90
1.89,63.4,90
1.99,62.6,90
1.75,62.4,90
1.73,61.5,90
1.92,60.8,90
1.71,60.6,90
1.95,59.9,90
1.96,59.2,90
1.52,59.1,90
1.77,58.7,90
1.6,58.4,90
1.43,57.4,90
1.49,56.7,90
1.65,56.1,90
1.63,55.9,90
1.93,55.2,90
1.64,54.5,90
1.74,53.8,90
1.73,52.7,90
1.94,52.6,90
1.68,52.2,90
1.85,51.8,90
1.58,51.7,90
1.7,51.3,90
1.6,50.9,90
1.53,50.3,90
1.98,49.9,90
1.48,49.9,90
1.9,48.1,90
1.77,48.1,90
1.63,48.1,90
1.58,47.7,90
1.67,46.9,90
1.59,46.9,90
1.67,46.6,90
1.81,46.0,90
1.94,45.9,90
2.0,45.3,90
1.57,44.9,90
1.49,44.4,90
1.51,43.7,90
1.78,43.2,90
1.99,42.4,90
1.65,42.4,90
1.7,42.2,90
1.96,42.0,90
1.94,41.1,90
1.9,40.9,90
1.47,40.6,90
1.46,120.0,89
1.66,118.9,89
1.45,118.6,89
1.94,117.5,89
1.52,117.1,89
1.5,117.1,89
1.44,116.5,89
1.83,116.4,89
1.65,116.2,89
1.66,116.0,89
1.75,115.2,89
1.67,114.8,89
1.6,114.8,89
1.82,114.2,89
1.5,113.1,89
1.76,112.6,89
1.42,112.4,89
1.68,112.3,89
1.45,112.3,89
1.89,111.4,89
1.85,111.2,89
1.93,110.7,89
1.71,110.3,89
1.47,110.2,89
1.66,109.9,89
1.99,109.7,89
1.49,109.0,89
1.7,108.3,89
1.96,106.3,89
1.7,105.6,89
1.4,105.0,89
1.97,104.5,89
1.6,103.4,89
1.66,102.8,89
1.72,101.9,89
1.5,101.6,89
1.81,101.3,89
1.85,101.2,89
1.77,100.4,89
1.8,100.3,89
1.67,99.5,89
1.54,99.0,89
1.55,98.7,89
1.7,98.3,89
1.67,95.6,89
1.68,95.5,89
1.77,95.3,89
1.99,94.7,89
1.89,94.3,89
1.95,93.5,89
1.99,93.3,89
1.9,92.7,89
1.93,92.5,89
1.57,92.4,89
1.62,91.9,89
1.74,91.8,89
1.62,91.8,89
1.52,91.7,89
1.69,91.2,89
1.8,90.7,89
1.55,90.6,89
1.73,90.5,89
1.43,90.3,89
1.92,89.7,89
1.77,89.7,89
1.71,89.4,89
1.94,89.1,89
1.87,88.5,89
1.56,86.3,89
1.92,85.6,89
1.44,85.4,89
1.98,84.8,89
1.49,83.1,89
1.44,82.7,89
1.41,82.5,89
1.98,82.1,89
1.59,82.0,89
1.93,81.8,89
1.8,81.5,89
1.72,81.5,89
1.99,80.9,89
1.41,80.9,89
1.99,80.7,89
1.89,80.5,89
1.76,80.4,89
1.75,79.5,89
1.61,77.7,89
1.77,76.9,89
1.63,76.8,89
1.52,76.5,89
1.96,75.6,89
1.74,72.5,89
1.49,72.0,89
1.65,71.1,89
1.46,70.9,89
1.74,70.6,89
