altura,peso,idade
1.46,115.3,57
1.47,97.5,75
1.47,97.3,50
1.47,52.6,32
1.58,95.3,30
1.66,72.9,14
1.46,105.9,48
1.47,63.8,72
1.55,42.5,54
1.67,86.8,89
1.72,75.3,55
1.77,61.2,63
1.99,85.8,66
1.73,44.2,12
1.73,57.4,38
1.91,115.9,32
2.0,98.0,28
1.67,107.3,58
1.49,74.1,37
1.76,64.5,12
1.65,44.1,13
1.78,45.0,35
2.0,40.3,30
1.48,42.8,88
1.65,69.9,48
1.9,78.9,34
1.84,119.8,14
1.46,99.2,46
1.67,119.2,74
1.75,83.7,55
1.99,92.1,59
1.51,41.2,89
1.74,91.6,70
1.78,107.7,67
1.58,71.3,64
1.43,117.9,46
1.75,119.4,71
1.73,79.2,42
1.44,105.5,32
1.61,44.2,76
1.45,40.9,59
1.88,108.7,35
1.81,112.7,47
1.52,96.7,21
1.98,86.4,38
1.78,61.9,54
1.51,112.2,12
1.59,91.8,71
1.59,108.4,39
1.73,98.7,66
1.9,88.8,51
1.63,95.2,59
1.51,64.9,72
1.46,76.0,38
1.79,95.1,55
1.89,51.4,72
1.62,46.9,22
1.79,82.6,50
1.82,85.0,35
1.77,56.2,49
1.94,112.0,55
1.91,105.9,24
1.83,77.5,15
1.53,55.2,47
1.41,41.8,39
1.89,84.4,57
1.77,118.6,44
1.73,52.1,75
1.56,53.3,27
1.76,118.1,29
1.47,114.5,36
1.86,64.8,80
1.86,116.6,60
1.98,102.0,62
1.58,80.8,32
1.9,44.1,85
1.4,106.4,76
1.82,115.1,25
1.95,111.2,55
1.95,102.6,24
1.5,113.2,56
1.91,117.7,59
1.41,40.7,27
1.82,89.0,56
1.69,117.9,83
1.49,119.8,51
1.8,115.0,51
1.76,74.0,48
1.49,80.8,90
1.97,77.9,32
1.44,87.2,60
1.88,108.6,12
1.65,95.7,60
1.69,53.0,77
1.75,62.2,83
1.43,76.4,81
1.95,47.8,44
1.84,48.7,73
1.72,42.0,26
1.63,70.4,32
1.94,51.6,18
1.6,119.9,75
1.78,88.0,45
1.57,61.8,64
1.49,77.9,22
1.52,66.7,50
1.7,87.9,19
1.47,112.5,70
1.59,111.1,10
1.7,86.0,79
1.79,40.8,86
1.64,48.4,11
1.59,52.3,58
1.59,112.0,86
1.48,88.9,40
1.7,70.7,67
1.95,118.6,16
1.53,47.4,84
1.73,53.2,52
1.83,84.7,89
1.79,44.2,20
1.67,99.0,44
1.73,106.4,17
1.91,114.7,58
1.76,50.0,41
1.8,109.0,33
1.49,60.7,59
1.88,70.6,87
1.76,41.3,51
1.49,60.7,82
1.58,57.4,55
1.7,94.4,45
1.96,45.0,14
1.42,103.8,57
1.78,83.6,60
1.54,45.2,28
1.47,102.4,63
1.71,104.9,35
1.47,105.0,90
1.61,84.5,34
1.56,97.4,15
